index,name,expected_color,status,green_ratio,black_ratio,smt_resistor_ratio,orange_ratio,white_ratio,low_sat_bright_ratio,gray_std,laplacian_var,max_black_area,max_black_area_ratio,max_smt_resistor_area,max_smt_resistor_area_ratio,smt_shape_ok,max_orange_area,max_orange_area_ratio,max_white_area,max_white_area_ratio,max_low_sat_bright_area,max_low_sat_bright_area_ratio,resistor_ng_score,resistor_ng_reasons,outer_bbox,inner_bbox,core_bbox,feature_bbox
1,R1,resistor,OK,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,15.961805,2735.424431,0.00,0.000000,238.00,0.881481,True,0.00,0.000000,238.00,0.881481,238.00,0.881481,0,,"(0, 17, 27, 44)","(4, 30, 19, 18)","(6, 30, 15, 18)","(6, 30, 15, 18)"
2,R2,resistor,OK,0.000000,0.226190,0.968254,0.000000,0.996032,0.996032,22.350689,3044.326326,44.00,0.174603,214.00,0.849206,True,0.00,0.000000,221.00,0.876984,221.00,0.876984,0,,"(34, 17, 28, 44)","(38, 30, 20, 18)","(41, 30, 14, 18)","(41, 30, 14, 18)"
3,R3,resistor,OK,0.000000,0.200855,0.901709,0.000000,0.867521,0.867521,31.073762,3553.094547,34.00,0.145299,182.00,0.777778,True,0.00,0.000000,165.00,0.705128,165.00,0.705128,0,,"(71, 17, 25, 44)","(74, 30, 19, 18)","(77, 30, 13, 18)","(77, 30, 13, 18)"
4,R4,resistor,OK,0.000000,0.059524,1.000000,0.000000,1.000000,1.000000,15.794294,2677.170619,8.00,0.031746,221.00,0.876984,True,0.00,0.000000,221.00,0.876984,221.00,0.876984,0,,"(105, 17, 26, 44)","(108, 30, 20, 18)","(111, 30, 14, 18)","(111, 30, 14, 18)"
5,R5,resistor,OK,0.000000,0.192593,1.000000,0.000000,0.985185,0.985185,17.778347,2769.212414,39.50,0.146296,238.00,0.881481,True,0.00,0.000000,238.00,0.881481,238.00,0.881481,0,,"(139, 17, 27, 44)","(143, 30, 19, 18)","(145, 30, 15, 18)","(145, 30, 15, 18)"
6,R6,resistor,OK,0.000000,0.146825,1.000000,0.000000,1.000000,1.000000,13.994375,2634.726049,25.50,0.101190,221.00,0.876984,True,0.00,0.000000,221.00,0.876984,221.00,0.876984,0,,"(175, 17, 26, 44)","(178, 30, 20, 18)","(181, 30, 14, 18)","(181, 30, 14, 18)"
7,R7,resistor,OK,0.000000,0.105263,0.975709,0.000000,1.000000,1.000000,19.537924,3438.528184,17.00,0.068826,210.50,0.852227,True,0.00,0.000000,216.00,0.874494,216.00,0.874494,0,,"(210, 17, 25, 43)","(213, 29, 19, 19)","(216, 29, 13, 19)","(216, 29, 13, 19)"
8,R8,resistor,OK,0.000000,0.236842,1.000000,0.000000,0.969298,0.969298,12.361111,2339.784780,41.50,0.182018,198.00,0.868421,True,0.00,0.000000,188.50,0.826754,188.50,0.826754,0,,"(245, 17, 24, 43)","(248, 29, 18, 19)","(251, 29, 12, 19)","(251, 29, 12, 19)"
9,R9,resistor,OK,0.000000,0.116541,0.969925,0.000000,0.981203,0.981203,20.733096,3348.304992,14.00,0.052632,227.00,0.853383,True,0.00,0.000000,227.50,0.855263,227.50,0.855263,0,,"(278, 17, 26, 43)","(281, 29, 20, 19)","(284, 29, 14, 19)","(284, 29, 14, 19)"
10,R10,resistor,OK,0.000000,0.142857,1.000000,0.000000,1.000000,1.000000,13.457607,2608.184479,26.50,0.099624,234.00,0.879699,True,0.00,0.000000,234.00,0.879699,234.00,0.879699,0,,"(313, 17, 26, 43)","(316, 29, 20, 19)","(319, 29, 14, 19)","(319, 29, 14, 19)"
11,R11,resistor,OK,0.000000,0.000000,0.968421,0.000000,1.000000,1.000000,18.695753,3000.234411,0.00,0.000000,239.50,0.840351,True,0.00,0.000000,252.00,0.884211,252.00,0.884211,0,,"(0, 64, 27, 43)","(4, 76, 19, 19)","(6, 76, 15, 19)","(6, 76, 15, 19)"
12,R12,resistor,OK,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,27.269631,2638.996778,0.00,0.000000,234.00,0.879699,True,0.00,0.000000,234.00,0.879699,234.00,0.879699,0,,"(34, 64, 28, 43)","(38, 76, 20, 19)","(41, 76, 14, 19)","(41, 76, 14, 19)"
13,R13,resistor,OK,0.000000,0.113360,1.000000,0.000000,1.000000,1.000000,22.513777,2204.494714,18.00,0.072874,216.00,0.874494,True,0.00,0.000000,216.00,0.874494,216.00,0.874494,0,,"(71, 64, 25, 43)","(74, 76, 19, 19)","(77, 76, 13, 19)","(77, 76, 13, 19)"
14,R14,resistor,OK,0.000000,0.172932,0.966165,0.000000,0.988722,0.988722,18.906910,2295.447750,34.00,0.127820,223.00,0.838346,True,0.00,0.000000,234.00,0.879699,234.00,0.879699,0,,"(105, 64, 26, 43)","(108, 76, 20, 19)","(111, 76, 14, 19)","(111, 76, 14, 19)"
15,R15,resistor,OK,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,18.688588,2709.106999,0.00,0.000000,252.00,0.884211,True,0.00,0.000000,252.00,0.884211,252.00,0.884211,0,,"(139, 64, 27, 43)","(143, 76, 19, 19)","(145, 76, 15, 19)","(145, 76, 15, 19)"
16,R16,resistor,OK,0.000000,0.263158,1.000000,0.000000,0.879699,0.879699,22.545864,2302.348126,55.50,0.208647,234.00,0.879699,True,0.00,0.000000,202.50,0.761278,202.50,0.761278,0,,"(175, 64, 26, 43)","(178, 76, 20, 19)","(181, 76, 14, 19)","(181, 76, 14, 19)"
17,R17,resistor,OK,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,15.021405,2881.550329,0.00,0.000000,216.00,0.874494,True,0.00,0.000000,216.00,0.874494,216.00,0.874494,0,,"(210, 64, 25, 43)","(213, 76, 19, 19)","(216, 76, 13, 19)","(216, 76, 13, 19)"
18,R18,resistor,OK,0.000000,0.319444,1.000000,0.000000,0.814815,0.814815,21.666726,2336.332562,53.00,0.245370,187.00,0.865741,True,0.00,0.000000,146.00,0.675926,146.00,0.675926,0,,"(245, 63, 24, 44)","(248, 76, 18, 18)","(251, 76, 12, 18)","(251, 76, 12, 18)"
19,R19,resistor,OK,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,23.447135,3182.327460,0.00,0.000000,221.00,0.876984,True,0.00,0.000000,221.00,0.876984,221.00,0.876984,0,,"(278, 63, 26, 44)","(281, 76, 20, 18)","(284, 76, 14, 18)","(284, 76, 14, 18)"
20,R20,resistor,OK,0.000000,0.248120,0.951128,0.000000,0.943609,0.943609,25.466194,3257.109065,51.50,0.193609,222.00,0.834586,True,0.00,0.000000,229.00,0.860902,229.00,0.860902,0,,"(313, 62, 26, 45)","(316, 75, 20, 19)","(319, 75, 14, 19)","(319, 75, 14, 19)"
21,R21,resistor,OK,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,9.170306,3123.003082,0.00,0.000000,132.00,0.846154,True,0.00,0.000000,132.00,0.846154,132.00,0.846154,0,,"(4, 115, 22, 29)","(7, 123, 16, 13)","(9, 123, 12, 13)","(9, 123, 12, 13)"
22,R22,resistor,OK,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,12.147810,2693.972130,0.00,0.000000,108.00,0.830769,True,0.00,0.000000,108.00,0.830769,108.00,0.830769,0,,"(41, 115, 20, 29)","(44, 123, 14, 13)","(46, 123, 10, 13)","(46, 123, 10, 13)"
23,R23,resistor,OK,0.000000,0.000000,0.993007,0.000000,1.000000,1.000000,22.896735,3173.537679,0.00,0.000000,119.00,0.832168,True,0.00,0.000000,120.00,0.839161,120.00,0.839161,0,,"(76, 115, 19, 29)","(78, 123, 15, 13)","(80, 123, 11, 13)","(80, 123, 11, 13)"
24,R24,resistor,OK,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,13.315715,2924.399931,0.00,0.000000,99.00,0.825000,True,0.00,0.000000,99.00,0.825000,99.00,0.825000,0,,"(110, 114, 20, 30)","(113, 123, 14, 12)","(115, 123, 10, 12)","(115, 123, 10, 12)"
25,R25,resistor,OK,0.000000,0.068182,1.000000,0.000000,1.000000,1.000000,18.877298,2865.822084,4.00,0.030303,110.00,0.833333,True,0.00,0.000000,110.00,0.833333,110.00,0.833333,0,,"(144, 114, 21, 30)","(147, 123, 15, 12)","(149, 123, 11, 12)","(149, 123, 11, 12)"
26,R26,resistor,OK,0.000000,0.100000,1.000000,0.000000,1.000000,1.000000,15.813740,2400.395556,6.00,0.050000,99.00,0.825000,True,0.00,0.000000,99.00,0.825000,99.00,0.825000,0,,"(180, 114, 20, 30)","(183, 123, 14, 12)","(185, 123, 10, 12)","(185, 123, 10, 12)"
27,R27,resistor,OK,0.000000,0.000000,0.900000,0.000000,1.000000,1.000000,23.714248,4294.036042,0.00,0.000000,87.00,0.725000,True,0.00,0.000000,99.00,0.825000,99.00,0.825000,0,,"(214, 114, 20, 30)","(217, 123, 14, 12)","(219, 123, 10, 12)","(219, 123, 10, 12)"
28,R28,resistor,OK,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,13.451557,2957.311042,0.00,0.000000,99.00,0.825000,True,0.00,0.000000,99.00,0.825000,99.00,0.825000,0,,"(247, 114, 20, 30)","(250, 123, 14, 12)","(252, 123, 10, 12)","(252, 123, 10, 12)"
29,R29,resistor,OK,0.000000,0.000000,0.816667,0.000000,0.908333,0.908333,30.825394,5930.424931,0.00,0.000000,78.00,0.650000,True,0.00,0.000000,89.00,0.741667,89.00,0.741667,0,,"(283, 112, 20, 30)","(286, 121, 14, 12)","(288, 121, 10, 12)","(288, 121, 10, 12)"
30,R30,resistor,OK,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,13.735521,3249.817493,0.00,0.000000,110.00,0.833333,True,0.00,0.000000,110.00,0.833333,110.00,0.833333,0,,"(317, 112, 19, 30)","(319, 121, 15, 12)","(321, 121, 11, 12)","(321, 121, 11, 12)"
31,R31,resistor,OK,0.000000,0.000000,0.961111,0.000000,1.000000,1.000000,14.658267,3305.338611,0.00,0.000000,144.50,0.802778,True,0.00,0.000000,154.00,0.855556,154.00,0.855556,0,,"(4, 147, 22, 33)","(7, 156, 16, 15)","(9, 156, 12, 15)","(9, 156, 12, 15)"
32,R32,resistor,OK,0.000000,0.000000,0.973333,0.000000,1.000000,1.000000,17.609068,2854.397156,0.00,0.000000,121.00,0.806667,True,0.00,0.000000,126.00,0.840000,126.00,0.840000,0,,"(41, 147, 20, 33)","(44, 156, 14, 15)","(46, 156, 10, 15)","(46, 156, 10, 15)"
33,R33,resistor,OK,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,17.982528,2226.865014,0.00,0.000000,140.00,0.848485,True,0.00,0.000000,140.00,0.848485,140.00,0.848485,0,,"(76, 147, 19, 33)","(78, 156, 15, 15)","(80, 156, 11, 15)","(80, 156, 11, 15)"
34,R34,resistor,OK,0.000000,0.000000,0.953333,0.000000,0.980000,0.980000,25.088502,2764.978889,0.00,0.000000,118.50,0.790000,True,0.00,0.000000,123.50,0.823333,123.50,0.823333,0,,"(110, 147, 20, 33)","(113, 156, 14, 15)","(115, 156, 10, 15)","(115, 156, 10, 15)"
35,R35,resistor,OK,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,16.441192,2478.249770,0.00,0.000000,140.00,0.848485,True,0.00,0.000000,140.00,0.848485,140.00,0.848485,0,,"(144, 147, 21, 33)","(147, 156, 15, 15)","(149, 156, 11, 15)","(149, 156, 11, 15)"
36,R36,resistor,OK,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,21.885053,3116.367822,0.00,0.000000,126.00,0.840000,True,0.00,0.000000,126.00,0.840000,126.00,0.840000,0,,"(180, 147, 20, 33)","(183, 156, 14, 15)","(185, 156, 10, 15)","(185, 156, 10, 15)"
37,R37,resistor,OK,0.000000,0.000000,0.960000,0.000000,1.000000,1.000000,19.719262,3900.138889,0.00,0.000000,118.00,0.786667,True,0.00,0.000000,126.00,0.840000,126.00,0.840000,0,,"(214, 147, 20, 33)","(217, 156, 14, 15)","(219, 156, 10, 15)","(219, 156, 10, 15)"
38,R38,resistor,OK,0.000000,0.180000,0.960000,0.000000,1.000000,1.000000,18.561084,3461.916622,16.00,0.106667,120.50,0.803333,True,0.00,0.000000,126.00,0.840000,126.00,0.840000,0,,"(247, 147, 20, 33)","(250, 156, 14, 15)","(252, 156, 10, 15)","(252, 156, 10, 15)"
39,R39,resistor,OK,0.000000,0.160000,0.980000,0.000000,0.960000,0.960000,21.165781,3560.284489,15.00,0.100000,123.50,0.823333,True,0.00,0.000000,120.50,0.803333,120.50,0.803333,0,,"(283, 145, 20, 35)","(286, 155, 14, 15)","(288, 155, 10, 15)","(288, 155, 10, 15)"
40,R40,resistor,OK,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,14.262005,3250.085891,0.00,0.000000,130.00,0.844156,True,0.00,0.000000,130.00,0.844156,130.00,0.844156,0,,"(317, 145, 19, 34)","(319, 155, 15, 14)","(321, 155, 11, 14)","(321, 155, 11, 14)"
41,R41,resistor,OK,0.000000,0.124224,0.829193,0.000000,0.913043,0.913043,37.569196,3474.409562,28.00,0.086957,213.00,0.661491,True,0.00,0.000000,146.00,0.453416,146.00,0.453416,0,,"(5, 186, 26, 53)","(8, 201, 20, 23)","(11, 201, 14, 23)","(11, 201, 14, 23)"
42,R42,resistor,OK,0.000000,0.000000,0.600000,0.000000,0.972727,0.972727,58.035550,4013.535207,0.00,0.000000,171.00,0.518182,True,0.00,0.000000,286.50,0.868182,286.50,0.868182,0,,"(46, 185, 27, 54)","(50, 201, 19, 22)","(52, 201, 15, 22)","(52, 201, 15, 22)"
43,R43,resistor,OK,0.000000,0.496753,0.792208,0.000000,0.782468,0.782468,34.992066,1728.804604,115.00,0.373377,205.50,0.667208,True,0.00,0.000000,200.50,0.650974,200.50,0.650974,0,,"(85, 185, 28, 54)","(89, 201, 20, 22)","(92, 201, 14, 22)","(92, 201, 14, 22)"
44,R44,resistor,OK,0.000000,0.590909,0.860606,0.000000,0.754545,0.754545,36.327586,2477.800964,158.50,0.480303,247.50,0.750000,True,0.00,0.000000,203.00,0.615152,203.00,0.615152,0,,"(122, 185, 27, 52)","(126, 200, 19, 22)","(128, 200, 15, 22)","(128, 200, 15, 22)"
45,R45,resistor,OK,0.000000,0.592308,0.919231,0.000000,0.826923,0.826923,29.279038,2522.011524,118.00,0.453846,205.00,0.788462,True,0.00,0.000000,175.50,0.675000,175.50,0.675000,0,,"(163, 186, 23, 50)","(166, 201, 17, 20)","(168, 201, 13, 20)","(168, 201, 13, 20)"
46,R46,resistor,OK,0.000000,0.509740,0.863636,0.000000,0.730519,0.730519,29.630930,3545.252266,92.50,0.300325,232.50,0.754870,True,0.00,0.000000,182.50,0.592532,182.50,0.592532,0,,"(201, 186, 26, 52)","(204, 201, 20, 22)","(207, 201, 14, 22)","(207, 201, 14, 22)"
47,R47,resistor,OK,0.000000,0.000000,0.793478,0.000000,1.000000,1.000000,39.193208,4304.202846,0.00,0.000000,186.50,0.675725,True,0.00,0.000000,242.00,0.876812,242.00,0.876812,0,,"(239, 186, 24, 53)","(242, 201, 18, 23)","(245, 201, 12, 23)","(245, 201, 12, 23)"
48,R48,resistor,OK,0.000000,0.615079,0.869048,0.000000,0.984127,0.984127,34.885611,3268.351789,125.50,0.498016,187.00,0.742063,True,0.00,0.000000,213.00,0.845238,213.00,0.845238,0,,"(275, 186, 24, 51)","(278, 201, 18, 21)","(281, 201, 12, 21)","(281, 201, 12, 21)"
49,R49,resistor,OK,0.000000,0.227273,0.863636,0.000000,0.857143,0.857143,30.531255,4458.400152,53.50,0.173701,233.00,0.756494,True,0.00,0.000000,232.00,0.753247,232.00,0.753247,0,,"(312, 185, 26, 52)","(315, 200, 20, 22)","(318, 200, 14, 22)","(318, 200, 14, 22)"
50,Q3,black,OK,0.000000,0.733333,0.975000,0.000000,0.538889,0.538889,19.810379,1839.237955,227.50,0.631944,313.50,0.870833,,0.00,0.000000,98.50,0.273611,98.50,0.273611,,,"(108, 246, 30, 32)","(114, 252, 18, 20)","(114, 252, 18, 20)","(114, 252, 18, 20)"
51,D5,special_white,OK,0.000000,0.025641,0.707265,0.000000,0.929487,0.929487,34.257754,2443.711246,6.00,0.012821,267.50,0.571581,,0.00,0.000000,383.00,0.818376,383.00,0.818376,,,"(165, 254, 24, 44)","(168, 263, 18, 26)","(168, 263, 18, 26)","(168, 263, 18, 26)"
52,D4,orange,OK,0.000000,0.381818,0.952273,0.000000,0.775000,0.775000,24.483448,1935.561798,136.50,0.310227,380.00,0.863636,,0.00,0.000000,277.50,0.630682,277.50,0.630682,,,"(199, 247, 28, 54)","(203, 263, 20, 22)","(203, 263, 20, 22)","(203, 263, 20, 22)"
53,D3,orange,NG,0.000000,0.000000,0.804545,0.000000,0.993182,0.993182,38.529692,3648.540826,0.00,0.000000,309.00,0.702273,,0.00,0.000000,394.00,0.895455,394.00,0.895455,,,"(236, 247, 28, 54)","(240, 263, 20, 22)","(240, 263, 20, 22)","(240, 263, 20, 22)"
54,D2,orange,OK,0.000000,0.253589,1.000000,0.000000,0.875598,0.875598,23.540170,2408.163412,85.50,0.204545,378.00,0.904306,,0.00,0.000000,321.50,0.769139,321.50,0.769139,,,"(274, 247, 27, 54)","(278, 263, 19, 22)","(278, 263, 19, 22)","(278, 263, 19, 22)"
55,D1,orange,OK,0.000000,0.294258,0.837321,0.000000,0.799043,0.799043,30.439355,2528.136656,97.00,0.232057,312.50,0.747608,,0.00,0.000000,280.50,0.671053,280.50,0.671053,,,"(312, 247, 27, 54)","(316, 263, 19, 22)","(316, 263, 19, 22)","(316, 263, 19, 22)"
56,Q4,black,OK,0.000000,0.753086,0.990741,0.000000,0.561728,0.561728,12.880441,1775.890604,213.00,0.657407,285.50,0.881173,,0.00,0.000000,80.00,0.246914,80.00,0.246914,,,"(108, 284, 30, 28)","(114, 289, 18, 18)","(114, 289, 18, 18)","(114, 289, 18, 18)"
57,Q5,black,NG,0.000000,0.000000,0.771605,0.000000,0.916667,0.910494,33.086903,3219.353757,0.00,0.000000,216.00,0.666667,,0.00,0.000000,263.00,0.811728,263.00,0.811728,,,"(108, 318, 30, 28)","(114, 323, 18, 18)","(114, 323, 18, 18)","(114, 323, 18, 18)"
58,Q1,black,OK,0.000000,0.243767,0.991690,0.000000,0.994460,0.994460,15.068237,2296.141589,55.50,0.153740,321.00,0.889197,,0.00,0.000000,321.00,0.889197,321.00,0.889197,,,"(166, 317, 29, 29)","(171, 322, 19, 19)","(171, 322, 19, 19)","(171, 322, 19, 19)"
59,Q6,black,OK,0.000000,0.422840,0.962963,0.000000,0.919753,0.919753,22.824748,2416.808642,113.00,0.348765,274.50,0.847222,,0.00,0.000000,253.50,0.782407,253.50,0.782407,,,"(108, 352, 30, 30)","(114, 358, 18, 18)","(114, 358, 18, 18)","(114, 358, 18, 18)"
60,Q2,black,OK,0.000000,0.293629,1.000000,0.000000,1.000000,1.000000,12.103432,1833.296276,72.00,0.199446,324.00,0.897507,,0.00,0.000000,324.00,0.897507,324.00,0.897507,,,"(166, 351, 29, 31)","(171, 357, 19, 19)","(171, 357, 19, 19)","(171, 357, 19, 19)"
61,U1,black,NG,0.000000,0.026921,0.897959,0.000000,0.986974,0.984802,28.209525,1339.676370,26.50,0.011507,1949.00,0.846287,,0.00,0.000000,2169.50,0.942032,2164.50,0.939861,,,"(237, 317, 121, 67)","(273, 327, 49, 47)","(273, 327, 49, 47)","(273, 327, 49, 47)"
